CRN,Class Name,Time Start,Time End,Days,Date Start,Date End,Building,Room
10125,ANSC 1100,8:00 am,8:50 am,R,"Aug 17, 2026","Dec 11, 2026",Haley Center,3195
10127,ANSC 2150,5:00 pm,5:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10128,ANSC 2150,5:00 pm,5:50 pm,T,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10130,ANSC 2400,4:00 pm,4:50 pm,T,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,218
10131,ANSC 2720,11:00 am,11:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,220
10132,ANSC 3150,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10134,ANSC 3310,9:00 am,9:50 am,W,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,220
10134,ANSC 3310,1:00 pm,4:00 pm,F,"Aug 17, 2026","Dec 11, 2026",Lambert Meat Lab,120
10136,ANSC 3400,3:00 pm,4:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,220
10137,ANSC 3500,8:00 am,8:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10138,ANSC 3600,9:00 am,9:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10138,ANSC 3600,1:00 pm,2:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10139,ANSC 3600,9:00 am,9:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10139,ANSC 3600,3:00 pm,4:50 pm,M,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10142,ANSC 3800,1:00 pm,1:50 pm,F,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10144,ANSC 4010,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10144,ANSC 4010,1:00 pm,2:50 pm,R,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10147,ANSC 4450,9:30 am,10:20 am,TR,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,220
10147,ANSC 4450,1:00 pm,2:50 pm,W,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,220
10148,ANSC 4700,11:00 am,11:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",STEM and Agric Science Complex,1142
10148,ANSC 4700,1:00 pm,2:50 pm,W,"Aug 17, 2026","Dec 11, 2026",Lambert Meat Lab,120
10172,ANSC 7010,8:00 am,9:15 am,TR,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,203
10157,ANSC 7610,11:00 am,12:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Upchurch Hall,220
12639,ANTH 1000,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,3195
12640,ANTH 1000,12:30 pm,1:45 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,3195
12641,ANTH 1000,1:00 pm,1:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Biggin Hall,5
12646,ANTH 3000,9:30 am,10:45 am,TR,"Aug 17, 2026","Dec 11, 2026",Mell Street Classroom Bldg,4546
12647,ANTH 3100,11:00 am,11:50 am,MWF,"Aug 17, 2026","Dec 11, 2026",Miller Hall,226
12649,ANTH 3300,2:00 pm,3:15 pm,TR,"Aug 17, 2026","Dec 11, 2026",Haley Center,2468
12650,ANTH 3410,1:00 pm,1:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Draughon Library,3027
13097,APBT 4100,1:00 pm,1:50 pm,TR,"Aug 17, 2026","Dec 11, 2026",STEM and Agric Science Complex,2118
13097,APBT 4100,2:00 pm,4:00 pm,TR,"Aug 17, 2026","Dec 11, 2026",STEM and Agric Science Complex,2118
13103,APBT 5800,8:30 am,10:30 am,MW,"Aug 17, 2026","Dec 11, 2026",STEM and Agric Science Complex,2106
10005,ARCH 1010,9:00 am,12:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,218
10006,ARCH 1010,9:00 am,12:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,219A
10007,ARCH 1060,1:00 pm,2:50 pm,T,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,102
10008,ARCH 2010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,418
10009,ARCH 2010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,419
10010,ARCH 2010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,404
10011,ARCH 2010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,404
10012,ARCH 2010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,404
10019,ARCH 3010,1:00 pm,4:50 pm,MWF,"Aug 17, 2026","Dec 11, 2026",Dudley Hall,319A
